112 231795.435 288006.977 -8.05
113 231897.823 288015.874 -5.9
114 231854.401 287993.832 -3.95
115 231826.308 287937.492 -3.1
116 231773.703 287940.239 -1.25
117 231768.978 287907.194 -3.45
118 230862.66 288176.028 0.4
119 230865.781 288097.133 4.7
120 230920.659 288026.781 3.3
121 230859.234 288265.235 4.4
122 230934.811 288195.678 6.25
123 230909.614 288276.757 20.1
124 230880.699 288316.469 17.25
125 230911.742 288360.761 14
126 230979.822 288126.713 -3.5
127 231000.567 288049.23 2.75
128 231006.126 288305.304 4.4
129 231051.899 288145.511 -3.05
130 231073.185 288067.546 -0.05
131 231031.561 288222.213 5.2
132 231127.486 288248.036 -5.05
133 231147.194 288170.681 0.4
134 231159.976 288122.007 0
135 231222.989 288143.498 1.4
136 231011.125 288392.339 -5.9
137 231082.893 288410.899 -13.2
138 231096.746 288330.705 6.1
139 231219.496 288190.689 -8.8
140 231224.27 288275.592 -5.7
141 231224.834 288366.104 0
142 231180.318 288436.041 -5.1
143 231255.757 288459.756 -0.2
144 231338.409 288482.23 -8.4
145 231410.978 288502.158 -0.6
146 231515.395 288522.686 17.6
147 231607.499 288546.274 11.1
148 231683.443 288568.266 12.8
149 231772.617 288615.009 9
150 231778.543 288506.732 4
151 231664.248 288474.986 0.2
152 231614.236 288468.625 4.5
153 231523.097 288438.314 6.6
154 231483.915 288435.166 2.8
155 231397.88 288412.762 -0.2
156 231326.35 288392.209 3.5
157 231299.041 288293.17 -10.2
158 231396.572 288321.026 -5.55
159 231391.045 288253.683 -10.25
160 231326.156 288214.326 -3.15
161 231502.389 288348.617 -0.25
163 231601.729 288370.183 -8.1
162 231681.386 288370.338 -4.8
164 231505.504 288262.263 -9
165 231592.629 288270.663 -1.2
166 231692.849 288277.5 -3.2
167 231768.399 288286.749 -5.2
212 231767.86 288372.425 -2.1
104 231752.98 288100.414 -5.87
105 231743.716 288046.688 -4.24
106 231724.709 287997.332 -6.21
107 231709.896 287947.103 3.42
108 231693.543 287897.283 -3.75
109 231678.507 287844.696 -2.92
110 231656.387 287800.22 -10.39
111 231642.963 287759.138 -14
169 231216.384 287402.741 -7.7
171 230918.673 287271.913 -14.1
170 231151.9 287371.604 -6
172 230990.594 287304.186 -12
173 231079.421 287334.247 0
174 231276.694 287304.083 -10.2
178 230960.959 287180.97 -21
175 231199.412 287271.243 -8.2
177 231034.316 287215.346 -14.9
176 231116.253 287253.02 -10.5
183 231293.062 287215.289 -7.6
179 231005.011 287091.278 -9.1
182 231237.552 287190.46 -11.15
180 231076.367 287126.049 -8.85
181 231157.762 287165.167 -8.05
184 231302.518 287129.418 -15.45
187 231037.238 287024.044 -9.05
185 231275.592 287110.731 -10.35
188 231107.447 287057.083 -11.35
186 231187.638 287105.303 -10.25
189 230873.891 287372.924 -11.4
192 231144.09 287509.065 -10.4
190 230946.38 287407.473 -10.9
193 231096.533 287486.184 -10.2
191 231020.338 287450.839 -10.8
194 230785.142 287507.557 -11
198 231089.319 287645.828 -16.6
195 230872.943 287555.801 -12.1
197 231028.593 287623.303 -16.2
196 230952.444 287591.405 -14.9
203 230741.505 287672.663 -6.5
199 231031.243 287804.369 -10.6
202 230804.352 287704.442 -1.5
200 230958.97 287769.453 -6.6
201 230881.225 287738.142 -7.7
204 230767.736 287780.022 -6.45
206 230894.234 287909.817 -2.5
205 230841.448 287821.538 3.25
208 230967.066 287900.137 -2.2
209 230900.226 287960.594 -2.55
36 231551.509 288040.444 -23.05
35 231549.556 288016.918 -21.45
34 231546.013 287970.022 -15.35
33 231542.406 287919.797 -13.35
32 231538.831 287871.302 -13.95
31 231535.504 287823.424 -11.25
30 231531.414 287773.719 -17
37 231525.599 287722.48 -12.45
38 231521.774 287674.067 -11.95
39 231517.876 287624.363 -13.05
40 231514.02 287578.958 -14.95
41 231510.776 287529.114 -14.55
42 231505.255 287470.984 -15.65
63 231505.592 287446.78 -9.75
3 231562.488 287502.488 -16.9
4 231566.653 287456.058 -20.1
5 231545.318 287417.317 -16.5
6 231558.462 287370.563 -13.9
7 231562.765 287323.138 -6.7
8 231551.322 287292.082 -9.5
48 231464.783 288021.908 -14.7
47 231462.959 287972.851 -11.4
46 231459.465 287923.231 -13
45 231456.101 287874.595 -17.3
44 231450.213 287827.679 -14.7
43 231446.246 287781.053 -24.8
51 231445.1 287725.26 -18.7
52 231438.826 287673.203 -18.1
53 231436.286 287619.892 -19
54 231431.777 287563.577 -11
55 231427.636 287506.471 -16.8
56 231423.064 287451.459 -14
57 231419.332 287398.239 -10.6
58 231415.151 287346.864 -12.5
59 231410.841 287294.139 -5.2
60 231406.994 287240.503 -11.3
61 231406.404 287190.219 -2
62 231410.556 287174.412 -12.5
70 231382.754 288071.946 -18.33
69 231380.07 288037.463 -14.23
68 231376.287 287987.854 -13.93
67 231372.237 287937.345 -14.43
66 231368.693 287885.226 -17.13
65 231364.679 287835.711 -13.33
64 231361.853 287786.923 -15.34
71 231357.915 287737.479 -15.09
72 231354.185 287689.125 -15.22
73 231347.918 287634.948 -13.05
74 231344.485 287584.026 -14.08
75 231339.522 287525.532 -12.31
76 231335.745 287473.921 -14.64
77 231331.677 287423.198 -9.07
78 231327.905 287375.413 -19.1
79 231295.202 288026.208 -17.25
80 231290.885 287969.657 -19.85
81 231286.981 287916.081 -17.75
82 231284.747 287863.031 -16.95
83 231278.916 287810.573 -12.55
84 231275.18 287758.383 -22.85
85 231271.995 287707.793 -19.85
86 231267.133 287658.559 -27.05
87 231265.335 287607.122 -21.75
88 231261.228 287556.28 -14.75
