date,Waterlevel
20150101,39
20150102,39
20150103,39
20150104,39
20150105,39
20150106,39
20150107,40
20150108,40
20150109,40
20150110,40
20150111,40
20150112,40
20150113,40
20150114,40
20150115,40
20150116,40
20150117,40
20150118,40
20150119,40
20150120,40
20150121,40
20150122,40
20150123,40
20150124,40
20150125,40
20150126,40
20150127,40
20150128,40
20150129,40
20150130,40
20150131,40
20150201,40
20150202,40
20150203,40
20150204,40
20150205,40
20150206,40
20150207,40
20150208,40
20150209,40
20150210,40
20150211,40
20150212,40
20150213,40
20150214,40
20150215,40
20150216,40
20150217,40
20150218,40
20150219,40
20150220,40
20150221,40
20150222,40
20150223,40
20150224,40
20150225,40
20150226,40
20150227,40
20150228,40
20150301,40
20150302,40
20150303,40
20150304,40
20150305,40
20150306,40
20150307,40
20150308,40
20150309,40
20150310,40
20150311,40
20150312,40
20150313,40
20150314,40
20150315,40
20150316,40
20150317,40
20150318,40
20150319,40
20150320,40
20150321,40
20150322,40
20150323,40
20150324,40
20150325,40
20150326,40
20150327,40
20150328,40
20150329,40
20150330,40
20150331,40
20150401,40
20150402,40
20150403,40
20150404,40
20150405,40
20150406,40
20150407,40
20150408,40
20150409,40
20150410,40
20150411,40
20150412,40
20150413,40
20150414,40
20150415,40
20150416,40
20150417,40
20150418,40
20150419,40
20150420,40
20150421,40
20150422,40
20150423,40
20150424,40
20150425,40
20150426,40
20150427,40
20150428,40
20150429,40
20150430,40
20150501,40
20150502,40
20150503,40
20150504,40
20150505,40
20150506,40
20150507,40
20150508,40
20150509,40
20150510,40
20150511,40
20150512,40
20150513,40
20150514,39
20150515,39
20150516,39
20150517,39
20150518,39
20150519,39
20150520,39
20150521,39
20150522,38
20150523,38
20150524,38
20150525,38
20150526,38
20150527,38
20150528,38
20150529,37
20150530,37
20150531,37
20150601,37
20150602,37
20150603,37
20150604,37
20150605,36
20150606,36
20150607,36
20150608,36
20150609,36
20150610,36
20150611,36
20150612,35
20150613,35
20150614,35
20150615,35
20150616,35
20150617,35
20150618,35
20150619,35
20150620,35
20150621,35
20150622,35
20150623,35
20150624,35
20150625,35
20150626,35
20150627,35
20150628,35
20150629,35
20150630,35
20150701,35
20150702,35
20150703,34
20150704,34
20150705,34
20150706,34
20150707,34
20150708,34
20150709,34
20150710,35
20150711,34
20150712,35
20150713,35
20150714,35
20150715,35
20150716,35
20150717,35
20150718,35
20150719,35
20150720,35
20150721,35
20150722,35
20150723,35
20150724,35
20150725,35
20150726,35
20150727,35
20150728,35
20150729,35
20150730,35
20150731,35
20150801,35
20150802,35
20150803,35
20150804,35
20150805,35
20150806,35
20150807,35
20150808,35
20150809,35
20150810,34
20150811,34
20150812,34
20150813,34
20150814,34
20150815,34
20150816,34
20150817,34
20150818,34
20150819,34
20150820,33
20150821,33
20150822,33
20150823,33
20150824,33
20150825,33
20150826,33
20150827,33
20150828,33
20150829,33
20150830,33
20150831,33
20150901,33
20150902,33
20150903,33
20150904,33
20150905,33
20150906,32
20150907,32
20150908,32
20150909,32
20150910,31
20150911,31
20150912,31
20150913,30
20150914,30
20150915,30
20150916,30
20150917,30
20150918,30
20150919,30
20150920,30
20150921,30
20150922,30
20150923,30
20150924,31
20150925,31
20150926,31
20150927,31
20150928,31
20150929,31
20150930,31
20151001,31
20151002,31
20151003,31
20151004,31
20151005,31
20151006,31
20151007,31
20151008,31
20151009,31
20151010,31
20151011,31
20151012,31
20151013,31
20151014,31
20151015,31
20151016,31
20151017,31
20151018,31
20151019,31
20151020,31
20151021,31
20151022,31
20151023,31
20151024,31
20151025,31
20151026,31
20151027,31
20151028,31
20151029,32
20151030,32
20151031,32
20151101,32
20151102,32
20151103,32
20151104,32
20151105,32
20151106,32
20151107,32
20151108,32
20151109,32
20151110,32
20151111,32
20151112,32
20151113,32
20151114,32
20151115,32
20151116,33
20151117,33
20151118,33
20151119,33
20151120,33
20151121,33
20151122,33
20151123,33
20151124,33
20151125,33
20151126,33
20151127,33
20151128,34
20151129,34
20151130,34
20151201,34
20151202,34
20151203,34
20151204,34
20151205,34
20151206,34
20151207,34
20151208,34
20151209,34
20151210,34
20151211,35
20151212,35
20151213,35
20151214,35
20151215,35
20151216,35
20151217,35
20151218,35
20151219,35
20151220,35
20151221,35
20151222,35
20151223,35
20151224,35
20151225,35
20151226,35
20151227,35
20151228,35
20151229,35
20151230,35
20151231,35
