xcoord, ycoord, zcoord
-1.011039999999920838e+02,-3.692824999999720603e+02,-9.000000000000000000e+00
-1.049599999999918509e+02,-4.146875000000000000e+02,-9.000000000000000000e+00
-1.082039999999688007e+02,-4.645314999999827705e+02,-9.000000000000000000e+00
-1.137249999999767169e+02,-5.226614999999874271e+02,-9.000000000000000000e+00
-1.133879999999771826e+02,-5.468654999999562278e+02,-9.000000000000000000e+00
-5.649199999996926636e+01,-4.911574999999720603e+02,-9.000000000000000000e+00
-5.232699999999022111e+01,-5.375874999999650754e+02,-9.000000000000000000e+00
-7.366199999998207204e+01,-5.763285000000032596e+02,-9.000000000000000000e+00
-6.051799999998183921e+01,-6.230824999999604188e+02,-9.000000000000000000e+00
-5.621499999996740371e+01,-6.705075000000069849e+02,-9.000000000000000000e+00
-6.765799999999580905e+01,-7.015634999999892898e+02,-9.000000000000000000e+00
-1.541969999999855645e+02,2.826250000001164153e+01,1.000000000000000000e+00
-1.560209999999788124e+02,-2.079449999995995313e+01,1.000000000000000000e+00
-1.595149999999848660e+02,-7.041449999995529652e+01,1.000000000000000000e+00
-1.628789999999862630e+02,-1.190505000000121072e+02,1.000000000000000000e+00
-1.687669999999925494e+02,-1.659664999999804422e+02,1.000000000000000000e+00
-1.727339999999676365e+02,-2.125924999999697320e+02,1.000000000000000000e+00
-1.738799999999755528e+02,-2.683854999999748543e+02,1.000000000000000000e+00
-1.801539999999804422e+02,-3.204425000000046566e+02,1.000000000000000000e+00
-1.826939999999885913e+02,-3.737534999999916181e+02,1.000000000000000000e+00
-1.872029999999795109e+02,-4.300684999999939464e+02,1.000000000000000000e+00
-1.913439999999827705e+02,-4.871744999999646097e+02,1.000000000000000000e+00
-1.959159999999683350e+02,-5.421865000000107102e+02,-9.000000000000000000e+00
-1.996479999999864958e+02,-5.954064999999827705e+02,-9.000000000000000000e+00
-2.038289999999688007e+02,-6.467814999999827705e+02,1.000000000000000000e+00
-2.081389999999955762e+02,-6.995064999999594875e+02,-9.000000000000000000e+00
-2.119859999999753200e+02,-7.531424999999580905e+02,-9.000000000000000000e+00
-2.125759999999718275e+02,-8.034265000000013970e+02,-9.000000000000000000e+00
-2.084239999999699648e+02,-8.192334999999729916e+02,-9.000000000000000000e+00
-2.362259999999951106e+02,7.830050000001210719e+01,1.000000000000000000e+00
-2.389099999999743886e+02,4.381750000000465661e+01,1.000000000000000000e+00
-2.426929999999701977e+02,-5.791499999992083758e+00,1.000000000000000000e+00
-2.467429999999876600e+02,-5.630050000001210719e+01,1.000000000000000000e+00
